RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31
102001,0,United States,country,,1276.8566922978139,1283.326988557343,1292.1300748965957,1302.3221412935552,1311.9865132916718,1320.7180453094031,1326.6860730933777,1330.055660351759,1331.421464177522,1331.3581101593713,1332.0588469889797,1333.329949697019,1337.4808512754305,1342.811590924389,1349.577533199681,1358.4072144300133,1367.488613860484,1375.8902124996575,1380.385165778284,1382.0758117358125,1381.0454811304023,1379.1872997516805,1377.7459132928984,1377.8764924820696,1383.71852605893,1394.0502671725174,1407.6636559133506,1419.7223782992924,1429.9987433446602,1437.9656327435118,1442.7985176492473,1444.342070317933,1445.350959661726,1445.0589587742002,1446.0082571784922,1447.4205538662147,1452.346056711207,1460.1587700445739,1471.4134690986457,1482.6894039341635,1492.4419828300759,1499.837570332625,1504.217885100341,1506.7345540702465,1506.8264116950031,1507.331903309689,1509.1006859730976,1511.9313729319445,1516.9239347749397,1524.6141559441746,1536.4629897384677,1548.2775441899828,1559.0135252872637,1566.5928943201557,1571.3444415710314,1573.3753258655875,1573.8359432408,1574.2481508237868,1575.3185024766271,1576.8770567176146,1582.5163311987833,1591.5925913467786,1602.2298676107355,1608.2424469463947,1614.7095744182898,1623.4391335678072,1637.3588890538754,1649.7061981770655,1660.5350073028792,1668.946834698536,1675.8527510907488,1683.1615906995085,1694.35695913549,1709.2095095377595,1726.8192847617902,1746.747208634824,1770.7060577720674,1795.769653952669,1819.7424221056708,1842.1877640355074,1860.9810839475979,1875.531409702586,1886.385548457175,1897.8470900526743,1912.015032026822,1930.3305630355512,1950.4392541263196,1972.063688474214,1991.2683780479474,2010.160221393203,2025.1664338185426,2036.5293954861622,2041.4249516515224,2044.0976813994778,2043.3903253877413,2046.3518932508648,2051.408798124518,2061.1987630753474,2074.664747743751,2088.954055927412,2102.4785047895894,2112.8912653530683,2122.7444330352623,2130.473318335886,2134.8887562228338,2136.304600429594,2136.694650137695,2139.370462429617,2146.9110977991145,2158.4199629944146,2173.1962730524738,2185.8434527591794,2196.9391416321882,2205.708703548644,2213.8506502104665,2220.0542749638016,2223.660842967138,2225.5417343361637,2229.2678414010206,2232.968801006948,2240.8259013907123,2250.0684832513302,2262.0932986151693,2271.967980194759,2279.7283826790076,2285.0471328008994,2288.6066239807988,2291.544032985006
394913,1,"New York, NY",msa,NY,2052.787843699171,2076.8414356433427,2093.6786498097663,2105.105362765198,2105.6405257743154,2119.277421555291,2124.526837900945,2125.7225004082993,2125.9360176409414,2126.373707009242,2129.9474000934797,2135.3265350747793,2144.4288954057124,2156.1882129855107,2161.839361669686,2173.820848860294,2181.552051382073,2187.128105981011,2190.732344346546,2187.686508058773,2187.576760437667,2183.1914771661786,2194.597551253268,2200.1185357683153,2216.1950621097385,2226.3273801810533,2244.727685870967,2257.4478268192343,2270.231559283487,2275.908697211089,2281.3133954922782,2274.5837497438324,2297.386575784907,2306.5233252447288,2307.7855789345786,2286.2076217868953,2285.7842382850117,2299.5034282633183,2312.4433255961812,2326.397288283198,2336.590926897937,2344.2479661564525,2345.662050528841,2351.6159334896656,2353.7081238179107,2353.039255098429,2354.84335171621,2355.0358991782646,2358.432839743464,2373.7932150381216,2398.2280005199823,2417.2408677822777,2428.6071248680846,2435.7756212879913,2436.564155283707,2429.87462363924,2415.0780755091027,2426.056637422843,2429.571199997252,2447.6425069677866,2447.3118862149504,2460.3727596138865,2475.872649162915,2494.3151438454365,2509.4500391350693,2520.6142865974207,2530.0120015223497,2536.8605056090214,2538.27271927792,2527.7262773457774,2544.0871931357924,2548.085072159366,2576.626475661144,2595.1552244647182,2638.097940013163,2666.0144285317783,2682.437832950294,2702.7963862540264,2722.03984360618,2742.265229020844,2735.592407158776,2751.7722644694945,2748.8943532119238,2787.0814102088448,2814.1241539171265,2864.4640300120436,2897.4362090919376,2930.16151811866,2963.2937413408454,2985.791395855549,3012.5021973926882,3027.6721317817405,3035.0669296745277,3029.4781428554975,3024.611915855774,3026.326921857332,3038.2871583254546,3071.097043095325,3118.418636482807,3162.388503991794,3185.0748283010275,3186.9394843224945,3197.5413263420114,3202.7331592607875,3207.8034419036762,3198.4290520951245,3201.617950014928,3221.06728794187,3253.779439707829,3280.080941416584,3318.063748382186,3330.5014053329796,3344.5794028557148,3348.9632535841215,3367.9074599777773,3375.165439120118,3364.333506869287,3354.7656316470784,3368.233142234746,3407.9034780161574,3430.183995367527,3427.8531315403716,3425.518184579353,3445.392055439861,3476.209314813858,3496.3263354409332,3503.1976413026696,3513.3822514155363
753899,2,"Los Angeles, CA",msa,CA,2507.729285666068,2521.096753176328,2541.0552498106813,2554.8286955367766,2577.466630830863,2594.6158637611393,2612.466970631743,2621.5269048484874,2630.5850813154584,2634.2463282493213,2632.9316660899676,2640.3796967417443,2654.0700595830044,2674.369371281195,2694.9712954039874,2710.094480271477,2739.6589319281125,2753.6248874643625,2768.8203118709,2767.323174771614,2766.2012714583557,2759.3176493479314,2752.1823237287213,2753.2130343500303,2773.8698989050795,2802.4865191334766,2833.7814538916855,2859.032407957134,2881.800418388155,2892.787781348882,2904.050548932087,2904.941889251815,2910.7565199528053,2904.149453817836,2910.3807995316065,2912.975080274153,2929.756053611804,2944.997668265262,2967.9943319854515,2987.132344256993,3002.9721049416466,3018.0281207312128,3027.9078128512906,3031.2893569649436,3032.991715272511,3039.2084097182246,3055.011611181236,3059.8552405399987,3067.164889427274,3069.381863423662,3096.404535497361,3110.8295621606353,3137.7912141917245,3143.3222625812928,3153.9647966172897,3150.79367027354,3153.107575833508,3156.7158499737548,3162.7343781624045,3168.413950632179,3176.9152154702183,3190.552031579671,3197.8119981231303,3191.2464461344025,3190.474676540849,3205.2175761847716,3240.243223389932,3255.9320258033663,3269.5388625027927,3271.624785208987,3290.779706635086,3298.6738853515803,3329.534461574812,3349.8901046803135,3391.451884494113,3411.3515239818225,3442.48381989043,3469.114980400355,3503.629347522301,3550.738819846169,3590.2238110019503,3616.416273268829,3637.3206393333417,3662.2536959338977,3694.3582907306386,3735.9246228206734,3780.372330735548,3826.5357295878543,3860.1511191488653,3889.3306984058463,3914.4083056749114,3924.293224436923,3926.8864614882477,3932.4233891247986,3937.6856480205056,3935.143981892364,3943.5687608723993,3953.1660029416835,3986.5512769894094,4013.902128083574,4040.3661563299165,4065.3637268795933,4085.173342642792,4106.746199794372,4105.506777534608,4104.371152340498,4106.515215979077,4119.96480605088,4139.61966483845,4160.400929237209,4183.595377861654,4203.882732603935,4216.73035484101,4234.102152460616,4251.222727704388,4261.4969892428635,4266.994946926674,4262.553091179727,4270.43807878455,4274.038083486647,,4420.775282983743,4478.708767567006,4452.254349081324,4443.569381198671,4439.928060001194,4437.106272580824,4434.379975433763
394463,3,"Chicago, IL",msa,IL,1498.7265497978062,1504.0255359136754,1511.1630038704388,1524.1568336594914,1535.9031352715513,1546.7162158644367,1549.4060328900732,1550.0286761181476,1544.5749293205477,1537.6944816609296,1533.465291062944,1537.7745154314941,1544.6808439691797,1552.756421477111,1561.8803589298616,1570.924513649705,1577.6783713093562,1581.66202515067,1586.4292473450673,1591.6305720890223,1588.0156764337826,1579.434521600664,1571.8158523113777,1565.2989931228417,1573.4050033000026,1583.1803203401007,1602.0482635462508,1615.5204419386885,1627.8691770433047,1633.617573918857,1635.318951374399,1631.4974601077329,1628.1266145985035,1619.3180217404602,1616.0192479525513,1614.4297217557737,1620.0075743886214,1628.648727348169,1643.1026827724227,1660.4306827773821,1671.1017900488855,1676.3122310774686,1675.232836992131,1675.757633799829,1674.4952416323456,1671.4476339698763,1665.5550226297037,1660.2667556589724,1667.4227354725606,1675.3827820806002,1691.4744002441216,1702.5832224413068,1715.3284449392506,1721.7893847727487,1725.0552994346663,1724.2956229208587,1722.832172580738,1718.5617675067401,1714.833082644692,1711.752047237496,1714.964634095337,1726.6484279578794,1741.3402800476174,1751.8698424687573,1756.6342781029302,1763.8050219064867,1773.9786075451652,1784.791265912618,1785.378147977837,1785.5861837655007,1784.79911299396,1793.068656195598,1804.7703098259321,1817.98448066349,1832.7179022060654,1847.3693498089208,1870.0806775329456,1890.3209458126946,1907.386759059317,1920.035071750009,1937.2629895761945,1949.4872569895697,1958.7342740430745,1962.2515908615787,1963.3222961042384,1970.4146864536183,1990.3286276810488,2018.5678048941177,2049.2936551736225,2067.564783444767,2084.3768703258106,2095.1423187374803,2100.82927337808,2104.2016455864896,2098.285771457847,2107.484851750946,2117.153627658682,2133.658790043643,2144.6938379820817,2163.9927206268094,2184.2077687142846,2205.9021237029515,2219.16852960749,2232.7038635875415,2236.026805240773,2240.780098084416,2245.5400155702955,2256.7344886266037,2270.2529123134386,2282.774915183897,2301.2729076390124,2323.0569302343974,2341.028908395459,2352.679873713741,2366.4686305325945,2381.06291043602,2392.8569299386654,2397.7017658810387,2401.3164369681135,2412.313781827436,2420.374820799165,2442.1590857622364,2455.742867311616,2470.845614246713,2482.1705594047257,2493.8248237859248,2513.707901906222,2519.314684479206
394514,4,"Dallas, TX",msa,TX,1392.901753350472,1401.4500625150079,1411.6096656223797,1424.8867030643735,1437.5741684927889,1448.6631406255976,1457.9354009269098,1461.287918524298,1461.8167626623824,1461.67637218476,1461.6180245067353,1463.8133615979077,1465.7710981899143,1475.3681444347267,1485.9479912939034,1499.2578052814606,1509.7268804239172,1519.2835919955012,1526.0071164704814,1529.18345580448,1528.4597354618593,1525.5471100444595,1522.5437916285537,1522.3005259236634,1529.988593553388,1540.3033921780452,1555.468858722897,1567.8946808056598,1580.8235352957136,1588.3298620034261,1593.783464143207,1596.313088056116,1595.7546264763357,1594.589402961082,1594.1226424997235,1597.0511136592388,1602.6645392904015,1610.9710877908092,1619.5257628467716,1630.557047632998,1638.071407427173,1648.075965559273,1649.7181087556405,1652.708156904578,1652.6336739992066,1653.3663411726025,1651.3104346217456,1652.4115603085984,1658.3811073341085,1666.3375460220084,1676.5333579182768,1687.1620690055856,1700.2240334753037,1706.8484127539025,1709.086308552315,1708.8190655452497,1708.539972945195,1710.1601981920796,1713.4039163115815,1712.200696668598,1715.2262246258726,1718.8451762108443,1731.1997724401283,1736.242742612854,1743.2452793676853,1751.684720332838,1764.3471368467651,1774.912220373194,1783.0775724914886,1792.966022542821,1803.045499053513,1812.6916429902453,1825.5831813401105,1840.435016327111,1858.9776650017213,1881.0072860865998,1909.6359351418284,1940.375225984449,1968.1322769660685,1992.8010309739648,2014.9217772218224,2035.7204815387004,2046.6260320457448,2054.3240347633855,2064.846318367372,2084.2219063837024,2106.5420066908587,2129.6422388469296,2153.0956704457926,2180.8664980822714,2199.093589070633,2209.4887051966593,2210.81226275143,2214.48167861475,2217.8517182969654,2220.4879188112795,2223.308258791107,2229.5061245810984,2241.788055940143,2252.4774651520033,2266.02045756035,2277.494523852809,2288.935614489135,2293.9851456827323,2292.308789147338,2286.4668741063406,2286.3663061165043,2286.2130851429356,2293.6618098968925,2300.513338119588,2317.1087143178725,2328.399135485107,2334.6698564936073,2341.012363610781,2344.2434539091246,2347.6859388280955,2344.7713702600954,2340.266546634591,2336.1755113305935,2332.0941883399646,2337.2330889897,2349.986898365765,2363.163663066198,2373.3918669552236,2376.756781389091,2378.589024575988,2375.2258757351224,2367.508470552804
394692,5,"Houston, TX",msa,TX,1562.883982699499,1567.812706590276,1575.9115328732682,1587.0732566070717,1599.080055287093,1609.694030473565,1612.1192481504843,1611.3325148646832,1606.6886234405697,1602.7055009602152,1599.1893252791267,1593.917177418543,1595.3247514562647,1595.8035308760816,1602.3412618979944,1604.9010984401662,1609.3387864103988,1613.335043436462,1613.1479545219072,1610.4719565804992,1602.2272653649486,1594.0903560885058,1583.839129766261,1578.3932352769255,1581.9839544678277,1594.2893774195688,1606.8546752561358,1615.8818949761821,1623.1038444922954,1628.457998666372,1629.9690799405178,1629.3404437574957,1635.3544799708466,1642.2049020487168,1647.457212811109,1646.5095342125321,1651.0281413468501,1656.5236746295386,1663.8700464054787,1668.326522615413,1674.8036606158487,1681.721167619931,1681.432778725749,1681.158129790496,1677.2332564261706,1676.1683612485976,1671.4641356759782,1669.95725259097,1672.5395333366916,1679.4648140790007,1689.463137733074,1700.6192981027093,1711.3038177191916,1717.7317048058599,1719.231265775873,1716.9736327908358,1716.7426403421562,1716.018941142,1715.112783708086,1713.379659718159,1717.8270184809064,1724.6494219097797,1732.9482076753316,1732.6314481797247,1736.3304973895051,1740.0016971575765,1752.6482280843832,1764.078241321353,1773.6659507001784,1781.2088410920126,1785.1298023319528,1792.3165371351058,1805.6900827911281,1819.979336297602,1833.2198611630308,1847.6019886112863,1867.8899392129629,1891.117656945848,1903.2769931634045,1918.4166638964518,1927.2170256089887,1943.9953844327226,1950.6283849671215,1960.4104667306774,1968.9158144032494,1984.4690589500467,1995.10710253603,2009.0177194218875,2020.0788463951756,2043.0771511190553,2056.9376879041747,2068.4209565384085,2069.78314885163,2074.590589829602,2071.3310426723924,2072.522951897166,2073.414328025546,2085.0797290661085,2096.561904720817,2108.021884602569,2120.3332053836143,2134.247968514518,2148.292683820461,2155.6765036338215,2155.025503216824,2152.1456033342606,2148.7241151551134,2150.9822194424387,2154.7832318753403,2167.751740443951,2175.598967006001,2187.531310966763,2193.9550961539376,2205.953254956302,2212.6626743043894,2219.208396389545,2219.4320700917547,2218.4747037979905,2219.1501309435994,2221.664790435992,2224.8629954543226,2229.402050952631,2238.918490498943,2247.842711881346,2252.838897515784,2251.0431702956225,2250.779598709095,2250.225194982897
395209,6,"Washington, DC",msa,VA,2132.06280929429,2146.316883208894,2164.1856324900427,2175.6224450485784,2183.9538288521626,2193.6988547887013,2197.3439810443456,2194.517842718695,2193.6314323683146,2186.596213442104,2186.0138485795837,2181.1710637931824,2188.248480470317,2198.1295582078515,2210.2880437003378,2218.257637699828,2228.1141956760434,2236.3517085637013,2244.82054466938,2246.4031870486588,2237.581448472358,2230.8890459462086,2222.4727770897593,2221.090435900944,2227.426343808999,2241.9141337786396,2262.161691121889,2277.1109421389087,2287.6891185430795,2296.569089213053,2299.7064060280354,2297.9987537235907,2294.2826800830417,2287.004455015101,2283.3550543010992,2285.0014655793498,2292.786319600533,2301.8888160836095,2313.268465300371,2328.081505350286,2342.199207917827,2351.226933136271,2356.12540760115,2358.552930549399,2354.9003744406755,2346.6328590631997,2345.465655511372,2344.3614798978583,2349.208596109389,2359.6839900383434,2380.238386287261,2400.3416734815332,2412.308387159217,2418.9791990538633,2421.704911014378,2424.9913544558194,2427.0198183523867,2423.5859368636393,2415.950040840869,2406.2548718836024,2412.500753338266,2425.1928284883293,2449.8367907491074,2463.9563445514887,2477.4997257450177,2482.7508808203847,2494.1616663238583,2503.530647784537,2514.0266843451577,2510.214066015686,2510.2966351177665,2506.0578826256,2519.328880143079,2526.4979981192128,2549.7583216108683,2572.7734200086306,2605.9854660948986,2627.426411973542,2649.3017895276807,2663.878771593133,2679.3428117654903,2688.0646156882344,2695.1657388066374,2696.1593317729375,2708.2994229853575,2728.817711248698,2756.4338745757486,2787.874710544296,2812.030500533072,2836.218035057673,2851.6175877430787,2860.756072566249,2870.092363037792,2868.191181348824,2869.5325658411934,2874.5063803444737,2884.511737023047,2902.0122919779387,2917.3877620824687,2940.1390267908955,2962.552556801511,2987.3692438368635,3007.4176172941525,3022.368302479679,3026.843986364081,3033.283083351231,3036.0513583931634,3038.5771628868397,3040.7097959936445,3056.0735978085413,3081.7956565158647,3113.9313364412556,3135.0992341523015,3159.498106673661,3173.724819610973,3185.9245228673703,3185.819711358595,3182.266586357001,3187.7081597506112,3182.8555304770416,3201.8714215903283,3217.853021446708,3255.1174874936364,3264.0500417251965,3272.63215723625,3276.327810580377,3291.120387756489,3296.2303726506107
394974,7,"Philadelphia, PA",msa,PA,1345.36897829856,1353.5545966759319,1365.979788590654,1372.7985851926005,1379.1951749009563,1382.4218914330663,1386.9883468480864,1387.4275253340836,1388.2071986881347,1387.112082232328,1383.8513632056267,1383.1761165110634,1384.700592566927,1392.1930233266794,1401.1193960083217,1411.6928444223438,1419.516260014395,1426.7460174846597,1428.1066796983762,1428.6273912088323,1423.4401525392439,1422.0553160572351,1425.0321123739318,1429.3713320362226,1435.4532583009725,1441.8701350357217,1453.4784053622639,1463.3747397527916,1469.87290076374,1469.64115070235,1470.523366939552,1471.9445975238416,1475.581633629639,1478.483625970325,1480.3067899703233,1482.4277025280192,1481.8171896959275,1486.6955842391033,1498.7277874904996,1511.575714306554,1523.5175508035725,1527.0928405276018,1526.243461626412,1523.60559112423,1525.7367902273443,1530.7026544135158,1536.0753336948671,1535.6106697671526,1540.501302321569,1547.9340375253087,1558.9682299958863,1569.9382255590222,1578.0758595479494,1586.2350171571202,1588.5024337767454,1588.8721966948697,1588.7665632025494,1593.778020784617,1596.057708320087,1600.725826165432,1603.0932542171965,1612.2349520656173,1622.094618778721,1628.2661095820392,1635.4595744162798,1641.430082546834,1653.745980259497,1661.6995682571246,1670.844058058558,1675.6823301140878,1680.6347839116995,1688.247852642451,1701.2299375437328,1716.4006999916135,1725.4162111795802,1740.5386799333385,1757.0872322626717,1774.3885682123746,1787.1204124082242,1800.9739179253368,1801.995045073094,1816.0903732858878,1829.9090945897206,1856.8283722346205,1869.497947555279,1879.2026882988828,1893.3597389526747,1907.4737174946733,1923.4071042094047,1938.1344170475036,1952.1294926579774,1964.4498501300825,1971.9593320380689,1973.434412757205,1977.0919063166823,1975.7821154525348,1984.1868386686983,1994.150883220301,2010.8505184138157,2023.4828649724213,2030.6933719227582,2038.4397757994914,2045.9047895969431,2053.675551116665,2067.4929204467066,2085.515403871686,2097.13976085395,2100.0576812236536,2101.47595129045,2110.419455323048,2124.7821623397376,2136.024469312983,2146.8903761448337,2152.154250860848,2155.3653700986974,2165.2711692023295,2178.6234683172247,2194.348926264957,2205.8877469174668,2217.233583747258,2224.256638993634,2232.1489300506532,2227.5523922402153,2231.5044040993757,2234.249034982089,2242.388931148004,2254.12679806051,2258.1401668092058
394856,8,"Miami, FL",msa,FL,1740.6686667033955,1745.9041129385444,1757.082650944885,1766.4013256851163,1774.613552014444,1781.3161185351032,1792.6085950190604,1803.28183159996,1815.7315623062002,1822.600262598394,1835.991464172048,1840.8018836748488,1849.6109867897608,1846.2699082789418,1850.061041362804,1850.8471709972275,1859.4436806206822,1860.8055640246712,1866.3607782395288,1869.423161189226,1878.1773222609102,1881.7917465405253,1888.4741617163213,1888.632525519744,1894.124446338752,1902.0498076810654,1915.722109144704,1923.1759115848372,1926.151616157066,1930.5469904338406,1939.17806313054,1947.717990810646,1953.5164925738582,1960.4820866056066,1964.3269680169585,1969.9722832796563,1973.0188458292728,1978.1823116911232,1983.2099656832881,1991.5289679394853,1999.6728468840822,2006.3159399785186,2009.6559393396055,2017.2717652394706,2024.2618344384637,2034.602869854232,2038.9850328559735,2038.7040469520493,2038.8213821933966,2043.3792680156332,2055.567969922644,2061.8453583883775,2068.3507282611054,2075.39136345288,2082.4340822270483,2087.1228295353117,2094.8683585519098,2108.7235111363225,2121.719079127489,2127.600527623012,2125.4400516412334,2131.0150410985784,2133.3695568672606,2136.0879823422397,2134.3637063190695,2145.0103745045685,2164.600819767796,2184.3473230859413,2208.5581254270687,2243.1129486636214,2274.0570593994476,2298.140002754382,2305.1601513608016,2321.4394031877778,2332.300577200651,2363.2080579005105,2398.2829501275996,2457.0686868938174,2520.3047607478825,2590.7974979119567,2659.985795774296,2709.72270607559,2770.323932226086,2820.1056742293817,2873.7757158238487,2909.812737621754,2956.9396775396763,3017.40572901487,3082.7891013730627,3133.88092988374,3166.337718436577,3185.5192660416174,3191.946215023175,3205.3852805777155,3214.010105973369,3220.755370003055,3211.5005115958024,3205.544767364429,3211.2014363188623,3230.4406552076584,3252.0537485397736,3276.3295660398944,3287.5326551551884,3298.3667146913085,3308.7262667200894,3330.002409050658,3341.0935779632127,3334.555053555255,3325.530241902708,3333.010142530802,3348.3013810414136,3366.6035715712956,3373.754439862227,3380.590226904532,3391.7063693706364,3407.235417225115,3421.911677687278,3420.341997006313,3427.3339792419115,3432.1591717443657,3434.399855053931,3435.7351872812187,3445.436197488003,3458.8522700035733,3459.383302206758,3459.73222230311,3462.802751874891,3461.5099059675417
394347,9,"Atlanta, GA",msa,GA,1132.8102465142163,1138.885270495403,1141.6288013608646,1151.7522643674022,1159.9652113685775,1173.1161467032,1179.8437249339768,1182.9042492768278,1182.5554140261554,1182.1345914922892,1181.8020223680605,1185.4629831405516,1191.237474812737,1200.1920590804561,1206.8415294337517,1214.81319329146,1224.4669264675233,1235.2550761806572,1244.0077836059274,1247.4982423594834,1246.712352361801,1245.893122922916,1245.4040353487696,1247.8973018153729,1253.1527793552568,1262.8191651345198,1275.6296415979832,1288.4270288652451,1300.8811881598647,1311.4145260830583,1320.960365988454,1323.9695432155845,1326.02706289136,1322.0835571284492,1327.20360178788,1329.1172120013248,1337.8190176389749,1343.2286818621658,1356.9636372154478,1368.8092601950348,1381.6440948446757,1388.250942983413,1393.4606846027907,1394.744055388189,1396.2725315166479,1400.003627853341,1405.4083585642745,1410.344303907158,1416.0790191768388,1423.4476359434295,1435.9414912546104,1448.9890650080524,1461.1136520956222,1471.4796932531099,1477.0636137976155,1480.3775268976917,1481.650472727189,1483.5959266297266,1486.4050785824456,1488.2954063444815,1493.0784737662345,1502.4391322517408,1515.946050248804,1526.6896732866824,1537.2648785664592,1550.2082574787767,1566.640578386349,1584.0953480876512,1599.3619230973827,1613.9719163907873,1624.9986758230575,1635.968612486547,1650.9352490240792,1672.0164190664373,1695.7640137750363,1723.188964335176,1749.8895135079993,1780.1453934216113,1807.3998789730417,1840.5074417280841,1865.5383964110097,1889.6801579461498,1901.083622371943,1909.005981604739,1916.5437870979893,1926.6451776786644,1943.4678764915977,1957.807399974851,1977.8877499354035,2000.6728023793423,2027.305824435066,2045.4640702895483,2055.5734436177218,2059.0199484317404,2058.99713676927,2067.1429434188303,2068.1246670789214,2074.738850563948,2079.2649423064277,2087.9996096866466,2096.4861852307195,2100.880989785917,2110.1530810956056,2116.3116036300066,2119.9105065627145,2112.719255836325,2106.00800672443,2106.0032177498956,2121.761941721261,2141.791847941807,2157.0113438012795,2163.6582332995026,2165.8632616532486,2176.196415716033,2185.3957884510437,2195.481864826934,2196.1465373464466,2199.586343154256,2201.6587886930583,2208.153913046322,2213.3866063149826,2228.028111956284,2235.592468858698,2246.969413241484,2249.540922051048,2255.615317671453,2262.8397353216437,2271.2389120087605
